release_date,title,vote_average,studio,domestic_gross,foreign_gross,year,Total_Revenue
2010-04-20,The Raven,5.9,Rela.,16000000.0,13600000.0,2012,29600000.0
2012-04-27,The Raven,6.3,Rela.,16000000.0,13600000.0,2012,29600000.0
2010-01-19,Brave,5.0,BV,237300000.0,303200000.0,2012,540500000.0
2012-06-22,Brave,6.9,BV,237300000.0,303200000.0,2012,540500000.0
2010-02-09,The Lazarus Effect,4.8,Rela.,25800000.0,12600000.0,2015,38400000.0
2015-02-27,The Lazarus Effect,5.1,Rela.,25800000.0,12600000.0,2015,38400000.0
2010-11-03,Trash,3.0,FCW,17500.0,4800000.0,2015,4817500.0
2015-10-09,Trash,7.1,FCW,17500.0,4800000.0,2015,4817500.0
2010-01-01,Your Highness,3.0,Uni.,21600000.0,3300000.0,2011,24900000.0
2011-04-08,Your Highness,5.3,Uni.,21600000.0,3300000.0,2011,24900000.0
2011-05-06,Thor,6.7,Par.,181000000.0,268300000.0,2011,449300000.0
2011-05-25,The Hangover Part II,6.4,WB,254500000.0,332300000.0,2011,586800000.0
2011-05-20,Pirates of the Caribbean: On Stranger Tides,6.4,BV,241100000.0,804600000.0,2011,1045700000.0
2011-07-22,Captain America: The First Avenger,6.9,Par.,176700000.0,193900000.0,2011,370600000.0
2011-06-16,Cars 2,5.9,BV,191500000.0,370700000.0,2011,562200000.0
2011-08-04,Rise of the Planet of the Apes,7.2,Fox,176800000.0,305000000.0,2011,481800000.0
2011-03-08,Limitless,7.1,Rela.,79200000.0,82600000.0,2011,161800000.0
2011-10-28,In Time,6.8,Fox,37500000.0,136400000.0,2011,173900000.0
2011-12-10,Ghost Rider: Spirit of Vengeance,4.8,Sony,51800000.0,80800000.0,2012,132600000.0
2011-12-21,Mission: Impossible - Ghost Protocol,7.0,Par.,209400000.0,485300000.0,2011,694700000.0
2011-12-16,Sherlock Holmes: A Game of Shadows,7.1,WB,186800000.0,358600000.0,2011,545400000.0
2011-12-14,The Girl with the Dragon Tattoo,7.3,MBox,10100000.0,94300000.0,2010,104400000.0
2011-09-23,Abduction,5.8,LGF,28100000.0,54000000.0,2011,82100000.0
2011-05-25,Kung Fu Panda 2,6.7,P/DW,165200000.0,500400000.0,2011,665600000.0
2011-06-17,Green Lantern,5.1,WB,116600000.0,103300000.0,2011,219900000.0
2011-12-20,Mr. Nobody,7.9,Magn.,3600.0,3500000.0,2013,3503600.0
2011-07-29,The Smurfs,5.6,Sony,142600000.0,421100000.0,2011,563700000.0
2011-07-29,Cowboys & Aliens,5.5,Uni.,100200000.0,74600000.0,2011,174800000.0
2011-04-01,Insidious,6.9,FD,54000000.0,43000000.0,2011,97000000.0
2011-04-11,Scream 4,6.2,W/Dim.,38200000.0,59000000.0,2011,97200000.0
2011-02-18,"Big Mommas: Like Father, Like Son",5.5,Fox,37900000.0,44800000.0,2011,82700000.0
2011-10-21,Johnny English Reborn,6.1,Uni.,8300000.0,151800000.0,2011,160100000.0
2011-09-09,Warrior,7.8,LGF,13700000.0,9400000.0,2011,23100000.0
2011-09-22,Moneyball,7.1,Sony,75600000.0,34600000.0,2011,110200000.0
2012-04-12,The Cabin in the Woods,6.5,LGF,42100000.0,24400000.0,2012,66500000.0
2012-04-12,The Cabin in the Woods,6.5,LGF,42100000.0,24400000.0,2012,66500000.0
2011-05-13,Priest,5.5,SGem,29100000.0,49200000.0,2011,78300000.0
2011-03-17,Paul,6.5,Uni.,37400000.0,60600000.0,2011,98000000.0
2011-09-23,Killer Elite,6.2,ORF,25100000.0,31300000.0,2011,56400000.0
2011-10-06,Real Steel,6.8,BV,85500000.0,213800000.0,2011,299300000.0
2011-11-11,Immortals,5.8,Rela.,83500000.0,143400000.0,2011,226900000.0
2011-04-01,Hop,5.6,Uni.,108100000.0,75900000.0,2011,184000000.0
2011-04-15,Rio,6.6,Fox,143600000.0,341000000.0,2011,484600000.0
2011-01-13,The Green Hornet,5.5,Sony,98800000.0,129000000.0,2011,227800000.0
2011-03-03,Rango,6.6,Par.,123500000.0,122200000.0,2011,245700000.0
2011-03-25,Sucker Punch,6.0,WB,36400000.0,53400000.0,2011,89800000.0
2011-06-09,Super 8,6.7,Par.,127000000.0,133100000.0,2011,260100000.0
2011-01-28,The Mechanic,6.3,CBS,29100000.0,47000000.0,2011,76100000.0
2011-01-21,No Strings Attached,6.2,Par.,70700000.0,78600000.0,2011,149300000.0
2011-02-24,Drive Angry,5.3,Sum.,10700000.0,18200000.0,2011,28900000.0
2011-07-08,Horrible Bosses,6.5,WB (NL),117500000.0,92100000.0,2011,209600000.0
2011-07-21,Friends with Benefits,6.6,SGem,55800000.0,93700000.0,2011,149500000.0
2011-03-04,The Adjustment Bureau,6.6,Uni.,62500000.0,65400000.0,2011,127900000.0
2011-06-19,Bad Teacher,5.5,Sony,100300000.0,115900000.0,2011,216200000.0
2011-04-01,Source Code,7.2,Sum.,54700000.0,92600000.0,2011,147300000.0
2011-08-12,Final Destination 5,6.0,WB (NL),42600000.0,115300000.0,2011,157900000.0
2011-07-29,"Crazy, Stupid, Love.",7.2,WB,84400000.0,58500000.0,2011,142900000.0
2011-05-20,Midnight in Paris,7.5,SPC,56800000.0,94300000.0,2011,151100000.0
2011-12-02,Shame,7.0,FoxS,3900000.0,13800000.0,2011,17700000.0
2014-06-01,Shame,6.5,FoxS,3900000.0,13800000.0,2011,17700000.0
1968-12-23,Shame,7.8,FoxS,3900000.0,13800000.0,2011,17700000.0
2011-11-23,Arthur Christmas,6.7,Sony,46500000.0,101000000.0,2011,147500000.0
2012-01-27,The Grey,6.5,ORF,51600000.0,25700000.0,2012,77300000.0
2012-01-27,The Grey,6.5,ORF,51600000.0,25700000.0,2012,77300000.0
2011-11-23,Hugo,7.1,Par.,73900000.0,111900000.0,2011,185800000.0
